char,f0,f1,f2,A0,A1,A2
 ,-7.213230,0.073997,1.639908,0.993597,0.983071,1.033151
!,5.593450,1.353628,4.129041,1.003392,1.082838,0.956016
'"',-2.380799,0.891170,2.190708,1.012598,0.986260,1.041995
&,-6.358290,6.283311,-0.756242,0.929535,0.982821,1.153270
',1.318270,2.376450,7.126073,0.949222,0.923583,0.885156
(,-1.196331,-0.592708,-1.415348,0.920326,1.139794,1.048374
),0.674104,1.216061,-2.159080,0.882354,1.096741,0.886644
',',-4.191639,5.227324,1.410092,0.971570,1.163357,0.955165
-,1.304933,-4.894459,2.675575,1.002457,1.009625,1.108854
.,-0.539131,1.846252,-4.055536,0.970934,1.040547,0.990582
/,-7.406051,-4.986486,2.742004,1.102253,0.906986,0.941465
0,1.161111,1.935444,-2.056400,1.233730,0.926303,0.812549
1,-1.865740,1.436925,-3.243664,1.006867,1.007203,1.069049
2,0.655090,-0.790935,5.351485,0.985694,0.808360,1.062425
3,1.548784,-1.342660,-0.345639,1.003595,1.120601,0.882515
4,0.531867,3.294588,-4.970796,1.128670,0.998321,1.045884
5,2.224126,-2.263772,-0.857461,0.929474,0.955477,1.079859
6,-2.709759,-0.448232,0.285520,0.972129,0.809965,0.970987
7,-0.885429,1.971285,-0.127523,0.853861,0.917189,0.896150
8,-3.235474,4.922898,-4.093715,0.927418,0.913731,1.107133
9,0.400374,-2.063257,-0.299021,1.165108,0.802872,1.191692
:,2.818122,-2.359445,1.580840,1.055120,0.865549,0.874138
;,-0.562414,0.169087,4.385406,1.138246,1.013315,0.988969
<pad>,0.746137,0.446059,-0.598289,1.111137,1.114338,0.878628
<unk>,-5.115822,1.511122,2.269187,1.010422,0.961892,1.038269
?,-1.687245,0.780748,1.310249,1.134328,1.066485,0.768165
@,0.989648,1.023719,2.284801,1.071919,0.931668,0.976294
a,2.200350,-1.354697,-0.005500,0.843518,1.045338,0.714581
b,0.940119,2.295145,-3.425646,0.907388,1.005424,0.768185
c,-0.017695,-1.069042,0.490409,0.898625,0.716394,0.682240
d,4.643787,-2.556440,1.464035,0.778567,0.908979,0.682109
e,3.158354,-1.270789,0.153381,0.916222,0.878136,0.834112
f,1.713428,-4.388308,0.779361,0.760279,0.866926,0.751263
g,-0.401895,2.026569,-1.690184,0.776027,0.913233,1.074346
h,0.886810,-1.726545,-2.745419,0.958629,0.939835,0.890541
i,-7.975690,0.076826,-0.589694,0.849876,0.997070,1.003816
j,1.813091,-0.288829,1.320539,0.898831,0.870910,0.774409
k,-3.412760,-6.174703,-0.740655,0.957250,0.949393,0.953466
l,-3.231387,1.562688,1.931913,0.829474,0.803007,0.800571
m,-3.933162,0.206483,-2.389423,0.871214,0.545026,0.702716
n,2.746230,-4.982537,-1.493337,0.842581,0.964754,0.961001
o,1.466159,3.657681,-0.762743,0.788293,0.975157,0.823994
p,-1.568531,1.172803,4.142499,0.941352,0.881832,0.903244
q,-7.849853,0.472329,-0.241113,0.908512,0.887221,0.860343
r,2.726287,-3.763763,-4.659289,0.809039,0.902863,0.875892
s,2.394772,-2.969166,2.573660,0.781272,0.607440,0.729621
t,-1.469497,-6.270041,4.808920,0.991222,0.954320,0.701225
u,3.882088,-2.390438,-0.776498,0.780641,0.869528,0.763542
v,1.762784,3.742295,-1.181584,1.091082,0.937136,0.855172
w,-0.655926,1.406257,2.410871,0.850006,0.759978,1.039024
x,-0.722625,-3.020537,-0.478457,0.937336,0.972977,0.875698
y,-2.081532,-3.229191,-0.711793,0.878116,1.066029,0.985887
z,-0.086914,3.888858,-8.116513,1.016964,0.869877,0.794544
# position_freq=0.193208
