token_id,token,frequency,amplitude
0,<pad>,-2.244821,0.915154
1,<unk>,2.276858,1.009657
2,the,-0.271757,0.960666
3,in,-3.741141,1.266799
4,and,1.477888,1.011519
5,a,-1.696544,1.085520
6,to,-2.670799,0.892399
7,of,-1.143075,1.007864
8,at,-1.072022,1.088389
9,on,2.055727,1.039804
10,for,0.763497,1.008970
11,through,6.119313,0.959907
12,with,-0.995544,0.942844
13,that,0.864922,1.006669
14,was,2.891964,1.172197
15,across,-2.008882,1.218951
16,night,4.570534,1.016195
17,from,-5.100597,0.931121
18,she,2.915461,0.845690
19,he,-3.443000,1.041815
20,old,0.625829,0.951211
21,they,1.377244,1.076908
22,dark,-5.281305,0.821542
23,cold,3.626945,1.019379
24,every,-0.057009,1.158586
25,her,2.655639,1.009014
26,green,6.428252,1.104739
27,toward,-0.050908,1.058425
28,tree,-7.794646,0.964283
29,hard,1.996692,0.954100
30,ran,-0.609495,1.003034
31,under,-3.030158,1.051127
32,sky,-1.580547,0.817199
33,water,-0.015318,0.959289
34,its,2.892761,1.137047
35,stood,1.732874,1.029256
36,day,-1.469051,1.043705
37,warm,-0.540120,1.076358
38,down,-4.664989,0.922251
39,one,2.400259,0.942180
40,river,-0.923490,1.013967
41,sat,-2.439748,0.986212
42,path,-4.588212,1.111928
43,by,3.641306,0.981989
44,long,-0.255621,0.953292
45,his,6.117515,0.935798
46,new,1.237504,0.985369
47,before,1.466066,1.105537
48,garden,-2.027450,0.959865
49,made,5.292754,1.008468
50,small,-3.978750,1.105550
51,full,0.468097,0.914656
52,had,1.083076,0.757471
53,great,-1.339342,0.931398
54,people,-2.359378,0.975415
55,man,0.223779,1.311185
56,is,2.683347,0.971282
57,dog,2.431219,1.000985
58,walked,-2.634412,0.919871
59,over,-5.322810,1.060270
60,air,-2.312056,1.125920
61,ocean,-0.819880,0.850504
62,family,0.544443,1.136067
63,loudly,-0.506762,1.146470
64,all,-9.882679,1.003006
65,built,-4.042247,1.258571
66,fresh,1.134262,1.015652
67,tall,-0.465724,0.994333
68,mountain,-1.917978,1.006541
69,bright,-1.606299,1.045207
70,after,0.416238,1.094655
71,together,1.035550,0.996937
72,into,-1.006032,1.171809
73,summer,0.791205,0.977370
74,who,1.979388,0.863865
75,near,-3.658507,0.979306
76,good,-0.024622,1.024140
77,cat,3.278158,0.835587
